Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU,FEZ,FXI,GDX,GLD,IAU,IBB,ITB,IVV,IWD,IWM,IYR,KBE,KRE,LQD,OIL,SDS,SH,SLV,SPY,USO,VGK,VNQ,VTI,VWO,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,USDOLLAR
2007-01-25,296700,366100,50600,8405100,20800,28725201,5002200,382400,4159200,121500,5099400,1243600,6013500,917200,7528600,633800,115400,10584999,1179300,5735100,1275000,1425900,158400,1220500,881100,54758100,4146200,37800,173700,168800,198600,141075,29000,4385000,71229100,3761100,309300,156600,425000,1030000,2177100,3957400,22017400,12467700,2037700,1447800,2132700,4437800,3214300,924900,281800,64800,0
2007-01-26,296700,313600,45300,9617300,9700,29451699,6065500,350100,2795200,159500,4031600,365500,3475800,880800,5469800,564000,256100,8175099,445100,3242100,766000,1158700,197700,1215600,1222600,47946800,1363700,101800,234600,98100,199800,174800,85200,2526000,71128900,4547700,239600,122500,220400,549600,2970200,3423200,14644100,9089600,1849000,4283900,3109600,2479000,2583900,1088400,29200,10400,0
2007-01-29,388400,367400,83900,6001000,7700,28192800,5770000,249800,2091100,33900,3261300,170900,3924000,1037400,4919100,134000,50100,7942899,1024700,3075300,986000,681100,30000,895600,1244300,59135000,1458500,25100,758200,154000,171100,124500,397500,3399000,61283000,3119000,173100,145600,274600,380200,462900,2815800,19929900,10076600,2823400,2340400,1363700,2387600,1967400,1678900,72700,26900,0
2007-01-30,292500,346800,81900,7473200,31700,20174199,4119400,554900,2716600,23900,2037100,656000,2155000,801600,3532400,277200,57800,6651399,528500,3055700,904000,627800,22400,1240800,659700,32672000,2111600,13500,588600,77100,326400,91400,31500,2300000,65248200,5683700,114700,87400,190800,1012600,502500,3023900,21476600,6204100,1692000,2497000,2534000,1986800,1187400,1264400,179200,62000,0
2007-01-31,386200,298300,55000,9622000,2400,30865200,5356100,727500,6283700,84800,5964900,940200,3968600,1040500,5996200,604800,106100,11665500,641100,5731200,1128000,543100,130200,1089400,1227800,51119600,3365300,280300,689800,166800,305300,178450,31100,4137000,85199600,5877800,186600,137600,271600,2859600,2040900,3950600,27789100,12215600,1262600,1722700,1856900,6321900,1685900,1148200,58400,114200,0
2007-02-01,821000,410000,51300,8594900,5700,33387099,7243400,506900,2647900,41500,2396700,315100,3298700,1355800,5847700,160800,40500,5582601,700300,5874900,1144000,1041400,301700,1423200,1370100,49580900,2571200,165500,276500,135000,247900,222525,106600,3123000,65266700,5234700,193100,885600,452400,1995600,3696300,1723500,22892400,13934000,2032100,1507200,2715100,2905400,2628200,1133800,1290600,37100,0
2007-02-02,445100,211400,118100,5568000,8400,20515299,6999900,1451400,9448000,192800,3389700,544500,2345700,1331200,5763700,103600,33400,5184999,640900,7911600,1620000,561400,284700,838400,885400,24928900,3169100,8300,124600,174000,254100,151200,35600,5889000,44343700,4632600,150800,130900,468800,650800,3643100,6394000,18364300,6168000,2444400,1521600,1108000,2075300,1197600,606800,91100,34100,0
2007-02-05,213300,271300,158800,4573000,9400,15404199,3318000,385800,3045700,127300,4539800,197300,1126400,1494500,4584100,316600,64900,6344400,206400,2366100,718000,855900,87600,1574500,785200,29298400,1262700,2900,85200,101400,657700,70850,48400,2621000,39554900,5660400,198100,167900,304400,1336400,449100,3011600,13018700,3937800,1518300,1032500,1072600,2908100,3130200,664100,23200,8200,0
2007-02-06,236400,473500,36700,5366300,1600,17185599,4488000,421700,3285200,2479400,8230300,3045800,1657600,1144000,5275900,149000,302000,5953800,260900,2522100,870000,1119700,140200,873600,895800,30074900,2945800,36000,661000,168100,427800,140600,54800,2636000,55035400,4591000,306200,139100,385000,819200,592700,4307300,19162400,7497000,2810100,1683600,1561000,2687000,2215000,1351200,71200,20500,0
2007-02-07,289800,179500,113600,5837100,6300,16233000,5116800,914500,2475800,833500,7963500,1344800,2586500,732100,6488500,343600,48500,3550500,391900,2848100,796000,674500,79100,725600,1795300,30024800,7204000,1500,18600,156700,230100,144750,77100,3226000,53628800,5118100,185000,253500,511200,1912600,920800,12238600,19555700,4270600,1125900,1569300,1712900,1586700,1567700,906900,93300,6500,0
2007-02-08,353800,178200,33000,6230100,7900,18736599,3841300,273300,2568300,335200,3711900,506200,2926000,1018700,5708000,168000,24700,3937200,920300,4648400,995000,628400,198100,797100,551100,24362400,6703900,8400,119200,113600,185400,116600,61600,3405000,66992600,5120500,195500,172300,178200,1085600,3305900,7890100,24810800,5622000,2209000,1365300,1837200,1719400,1345800,961800,52000,18800,0
2007-02-09,419600,162500,64900,6528200,18800,28851399,4635700,508900,1727000,127100,6448300,268200,3047300,1097100,5568600,200800,89100,4948299,915100,6341700,1518000,2032800,96300,2170600,911000,51075500,12697100,158300,1074200,175400,204400,233850,151100,3856000,75312700,5929700,308800,285200,591200,1124600,1718500,3878000,18931000,17842800,3604200,1887400,774600,3882200,2621500,1127200,31400,10300,0
